Welcome to the profile statistics browser.
cProfile.out% Wed Jan 15 17:53:44 2025    cProfile.out

         53266001 function calls (53251305 primitive calls) in 21.731 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      374    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      694    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      694    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      373    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      373    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      373    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      374    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      694    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      321    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
   503/10    0.000    0.000    0.481    0.048 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     3565    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      660    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      803    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      353    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      623    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      353    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  353/344    0.000    0.000    0.083    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
   353/10    0.001    0.000    0.484    0.048 <frozen importlib._bootstrap>:664(_load_unlocked)
      366    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
      364    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
     1465    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
     1465    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:902(_resolve_name)
      366    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    370/9    0.001    0.000    0.485    0.054 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    373/9    0.001    0.000    0.485    0.054 <frozen importlib._bootstrap>:1022(_find_and_load)
        8    0.000    0.000    0.023    0.003 <frozen importlib._bootstrap>:1038(_gcd_import)
  460/101    0.000    0.000    0.362    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      933    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       33    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
     3317    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     3317    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1244    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      622    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1460    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      493    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      459    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      382    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      622    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      349    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      311    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      311    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      349    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
   311/10    0.000    0.000    0.484    0.048 <frozen importlib._bootstrap_external>:877(exec_module)
      311    0.001    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      311    0.000    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      311    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
    38/35    0.000    0.000    0.079    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
       38    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1219(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1226(_find_parent_path_names)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1236(_get_parent_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_recalculate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1254(__iter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1304(exec_module)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      717    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      364    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      364    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      349    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      623    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
       33    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       33    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/codecs.py:260(__init__)
       33    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/codecs.py:309(__init__)
      109    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/codecs.py:319(decode)
        4    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/codecs.py:331(getstate)
        7    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/io.py:60(__getattr__)
       67    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/abc.py:7(abstractmethod)
      122    0.004    0.000    0.005    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/abc.py:105(__new__)
       34    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/abc.py:110(register)
     1234    0.000    0.000    0.001    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/abc.py:117(__instancecheck__)
 1661/210    0.000    0.000    0.001    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/abc.py:121(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/abc.py:146(update_abstractmethods)
        1    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/os.py:48(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/os.py:44(_get_exports_list)
